origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
BRAINSPACE,BRAINSPACE,0.0,0.0,0.0,0.0
BRAINSPACE,Hostel 5 - CRANE,26.8255576,62.9015499,47.5489897,137.2760971
BRAINSPACE,Hostel 1 - HAWK,26.8255576,401.7323498,35.1058881,463.6637955
BRAINSPACE,Hostel 2 - EAGLE,26.8255576,887.6409185,38.1097472,952.5762233
BRAINSPACE,Hostel 3 - SILVERBILL,26.8255576,35.0252079,43.6741535,105.524919
BRAINSPACE,Hostel 6 - SWAN,26.8255576,175.643429,33.3299605,235.7989471
BRAINSPACE,Hostel 7 - SUNBIRD,26.8255576,257.3612568,33.3777019,317.5645162
BRAINSPACE,Mess - 2,26.8255576,922.0641242,50.5392008,999.4288825
BRAINSPACE,Apartment Tower - E,26.8255576,1677.5059916,21.3582122,1725.6897614
BRAINSPACE,Apartment Tower - A,26.8255576,1503.3985789,29.0467884,1559.2709249
BRAINSPACE,Director's Residence,26.8255576,1182.2230501,27.4509154,1236.4995231
BRAINSPACE,Duplex Houses - D-1 to D-5,26.8255576,1316.2400863,20.1582429,1363.2238867
BRAINSPACE,Athletic Track,26.8255576,396.0799922,86.0505271,508.9560769
BRAINSPACE,Mess - 1,26.8255576,419.8705074,23.2313424,469.9274074
BRAINSPACE,Mess - 3,26.8255576,57.1373876,24.9175509,108.880496
BRAINSPACE,Mess - 4,26.8255576,220.1904326,28.3024783,275.3184685
BRAINSPACE,Cricket Ground,26.8255576,189.0260323,80.7553926,296.6069825
BRAINSPACE,Ideation Hut,26.8255576,82.8147348,18.8062422,128.4465345
BRAINSPACE,Infinity - AB1,26.8255576,1077.4526131,22.1618907,1126.4400615
BRAINSPACE,Elements - AB2,26.8255576,1027.7046719,28.9748167,1083.5050461
BRAINSPACE,Elements - A02,26.8255576,999.6805539,11.2298323,1037.7359437
BRAINSPACE,Elements - AB2,26.8255576,978.3979355,10.682756,1015.9062491
BRAINSPACE,Elements - A02,26.8255576,1008.0978383,7.5961936,1042.5195895
BRAINSPACE,Cell - A03,26.8255576,828.984266,25.1442028,880.9540264
BRAINSPACE,Cell - A03,26.8255576,903.7107143,15.4553472,945.9916191
BRAINSPACE,Cell - A03,26.8255576,1008.1873393,16.4406819,1051.4535788
BRAINSPACE,4D - AB4,26.8255576,1156.2231253,28.0521064,1211.1007893
BRAINSPACE,Therm - A05,26.8255576,1214.5846485,23.9317012,1265.3419073
BRAINSPACE,Gravity - AB6,26.8255576,1087.975031,9.3493347,1124.1499233
BRAINSPACE,Binary - AB6,26.8255576,1077.4526131,15.5685895,1119.8467603
BRAINSPACE,Library - Lumen - A08,26.8255576,1020.5859265,24.7871132,1072.1985973
BRAINSPACE,Cafe Coffee Day,26.8255576,858.1649623,9.5828277,894.5733477
BRAINSPACE,Plasma - A09,26.8255576,1162.0697304,24.0064437,1212.9017316
BRAINSPACE,Lecture Hall Complex (LHC) Ensemble - A10,26.8255576,861.4817941,43.6996565,932.0070082
BRAINSPACE,LHC Cafetaria,26.8255576,924.8483487,14.1877749,965.8616811
BRAINSPACE,Fly facility - A11,26.8255576,779.2808833,8.2641139,814.3705548
BRAINSPACE,Animal Facility - A12,26.8255576,771.7876916,16.3949538,815.0082031
BRAINSPACE,Solvent Store - A13,26.8255576,998.9255659,14.5041642,1040.2552878
BRAINSPACE,Liquid Nitrogen Plant - A14,26.8255576,965.6208702,10.6737646,1003.1201924
BRAINSPACE,BSL - 3,26.8255576,1257.5267446,15.4707201,1299.8230223
BRAINSPACE,Rock Cutting Facilities,26.8255576,814.2460906,11.3319089,852.4035571
BRAINSPACE,Elements Extension (Proposed),26.8255576,1022.5917831,19.3798498,1068.7971905
BRAINSPACE,Badminton Hall,26.8255576,601.8776297,31.1294968,659.8326841
BRAINSPACE,Hostel 9 - Flamingo (Proposed),26.8255576,589.5236709,42.759123,659.1083515
BRAINSPACE,Mess - 5,26.8255576,669.4347426,24.6081545,720.8684547
BRAINSPACE,Student Activity Center,26.8255576,295.1186104,12.6825019,334.6266698
BRAINSPACE,Open Stage,26.8255576,353.1290017,13.7327478,393.6873071
BRAINSPACE,Tennis and Badminton Court,26.8255576,355.4713792,19.4034483,401.700385
BRAINSPACE,Sports Complex,26.8255576,334.0256065,43.5199927,404.3711568
BRAINSPACE,Institute Club & Creché,26.8255576,1464.7361833,28.7079374,1520.2696783
BRAINSPACE,Community Center,26.8255576,1506.835399,29.3761025,1563.0370591
BRAINSPACE,Shopping Center,26.8255576,1106.1937319,32.0408062,1165.0600957
